bond_proceeds,business_name,compensation_from_other_srcs,contrct_rcvd_greater_than_100k,ein,exclusion_amount,executive_compensation,formation_year,fundraising_expenses,group_return_for_affiliates,indiv_rcvd_greater_than_100k,investment_income,management_and_general_expenses,net_assets_boy,net_assets_eoy,net_fundraising,net_inventory_sales,operating_margin,other_compensations,other_revenue,other_salaries_and_wages,professional_fundraising_fees,program_efficiency,program_service_revenue,program_services_expenses,related_or_exempt_func_income,rental_property_income,royalties,sales_of_assets,tax_period_begin,tax_period_end,tot_reportable_comp_rltd_org,total_assets_boy,total_assets_eoy,total_comp_greater_than_150k,total_contributions,total_employees,total_expenses,total_gross_ubi,total_liabilities_boy,total_liabilities_eoy,total_revenue,total_volunteers,unrelated_business_revenue,voting_members_governing_body,voting_members_independent,website
,SOUTH ORANGE PERFORMING ARTS CENTER INC,0,0,320074004,7206,227581,1997,221043,0,2,3635,388468,451707,306742,1567,34111,-0.06603639898079221,1068,362,719677,,0.7403134843251447,1268516,1737592,1376876,61490,,-558,2019-07-01,2020-06-30,0,885641,935062,0,830025,47,2347103,-12397,433934,628320,2201710,90,-12397,20,20,WWW.SOPACNOW.ORG
,SOUTH ORANGE PERFORMING ARTS CENTER INC,0,0,320074004,124724,154500,1997,206530,0,1,6166,459225,484869,451707,55599,31411,-0.011842336442056758,8000,12975,,,0.7650376536905135,1680676,2167699,1819657,97039,,,2018-07-01,2019-06-30,0,924007,885641,1,853467,47,2833454,2444,439138,433934,2800292,100,2444,24,24,WWW.SOPACNOW.ORG
,SOUTH ORANGE PERFORMING ARTS CENTER INC,0,0,320074004,4723,149000,1997,235400,0,1,1986,390765,451026,484869,0,22471,0.012896265901698315,1127,558,,,0.7582752503952085,1478008,1964240,1577140,75785,,,2017-07-01,2018-06-30,0,735233,924007,1,1042703,43,2590405,-318,284207,439138,2624248,100,-318,17,16,WWW.SOPACNOW.ORG
,SOUTH ORANGE PERFORMING ARTS CENTER INC,0,0,320074004,309,135000,1997,177272,0,1,309,362291,443067,451026,0,42932,0.0032051436938525996,0,412,561196,,0.782015621130421,1494806,1935674,1579142,41453,,,2016-07-01,2017-06-30,0,645650,735233,0,903284,43,2475237,461,202583,284207,2483196,100,461,24,23,WWW.SOPACNOW.ORG
,SOUTH ORANGE PERFORMING ARTS CENTER INC,0,0,320074004,223,135000,1997,178341,0,1,223,320089,288901,443067,,31289,0.0634535567347221,0,1092,599041,,0.7809505225843821,1350711,1776992,1517301,98133,,,2015-07-01,2016-06-30,0,537085,645650,0,948140,49,2275422,-36076,248184,202583,2429588,100,-36076,23,21,WWW.SOPACNOW.ORG
,SOUTH ORANGE PERFORMING ARTS CENTER INC,0,0,320074004,481,135000,1997,99461,0,1,481,377695,69915,288901,0,38490,0.08334265765138316,0,46501,744386,,0.8018909286575503,1378701,1931396,1597099,120723,,,2014-07-01,2015-06-30,0,242788,537085,0,1042642,40,2408552,-12684,172873,248184,2627538,130,-12684,21,20,WWW.SOPACNOW.ORG
,,0,0,320074004,1286,111635,1997,192975,0,1,1286,428270,29134,69915,,27443,0.017281790956480025,0,,695373,,0.7321048941218273,1449849,1697741,1477292,100864,,,2013-07-01,2014-06-30,0,322232,242788,0,780325,34,2318986,100864,293098,172873,2359767,85,100864,23,22,WWW.SOPACNOW.ORG
,,,,320074004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APPALACHIAN EDUCATIONAL COMM CORP,false,,521221965,0,89571,1981,0,false,0,53,80099,-539488,-553824,,,0.017862784543019247,0,,102803,,0.8801568005505973,130497,588266,148550,18000,,,2023-01-01,2023-12-31,0,245496,223831,false,531971,7,668365,0,784984,777655,680521,,0,7,7,
,APPALACHIAN EDUCATIONAL COMM CORP,false,,521221965,0,89572,1981,0,false,0,57,71780,-450607,-507363,,,-0.049791710157751905,0,,96079,,0.8934785673475748,113438,602075,131495,18000,,,2022-01-01,2022-12-31,0,230820,264206,false,510399,7,673855,0,681427,771569,641894,,0,7,7,
,APPALACHIAN EDUCATIONAL COMM CORP,false,,521221965,0,90417,1981,0,false,0,13,72943,-376719,-378924,,,-0.0002243873424168654,0,,79625,,0.8701284596415949,66429,488712,68442,2000,,,2020-01-01,2020-12-31,0,231840,225666,false,493087,8,561655,0,608559,604590,561529,60,0,7,7,
,APPALACHIAN EDUCATIONAL COMM CORP,false,,521221965,0,88762,1981,0,false,0,14,70195,-322477,-376719,,,-0.025837096276589352,0,,84447,,0.8629172582279915,79567,441868,91581,12000,,,2019-01-01,2019-12-31,0,239261,231840,false,407585,7,512063,0,561738,608559,499166,60,0,7,7,
,APPALACHIAN EDUCATIONAL COMM CORP,false,,521221965,0,79000,1981,0,false,0,32,67333,-431098,-322477,,,-0.3843523655998374,0,,80071,,0.9021144830092677,70348,620542,82380,12000,,,2018-01-01,2018-12-31,0,109311,239261,false,414513,11,687875,0,540409,561738,496893,60,0,7,7,
,APPALACHIAN EDUCATIONAL,false,,521221965,121285,79000,1981,0,false,,20,108716,194087,-430214,,,-2.807980207567602,,1725,206630,,0.8871676502151491,119560,854802,-432847,,,-432867,2017-01-01,2017-12-31,,1068092,109311,false,564588,11,963518,0,874005,539525,253026,60,,7,7,
,APPALACHIAN EDUCATIONAL COMM CORP,false,,521221965,0,79000,1981,0,false,0,20,128520,262010,194087,,,-0.10059715816693769,0,,91820,,0.8270537368746139,150899,614601,150919,,,,2016-01-01,2016-12-31,0,931067,1068092,false,524279,11,743121,0,669057,874005,675198,60,0,7,7,
,APPALACHIAN EDUCATIONAL COMMUNICATION CORP,false,,521221965,15,53000,1981,0,false,,15,164290,366801,262010,,,-0.14400144013807736,,,83100,,0.802654417602904,166471,668209,166471,,,,2015-01-01,2015-12-31,,962307,931067,false,561222,11,832499,0,595506,669057,727708,60,,7,7,N/A
,APPALACHIAN EDUCATIONAL COMMUNICATION CORP,false,,521221965,13,79000,1981,0,false,0,13,173313,-268145,-343512,,,-0.0901373582017258,,1324,139906,,0.8098599893362823,181757,738189,183081,,,,2014-01-01,2014-12-31,,987029,962307,false,653041,11,911502,0,1255174,1305819,836135,60,,7,5,N/A
,American Guild of English Handbell Ringers INC,false,,516019671,0,140002,1986,1224,false,0,13694,426242,550759,556349,,,-0.12089790570557045,0,,128343,,0.44233988010984493,260325,339069,286910,,22292,,2022-10-01,2023-09-30,0,772162,863850,false,387547,7,766535,9401,221403,307501,683858,180,9401,7,7,www.handbellmusicians.org
,American Guild of English Handbell Ringers INC,false,,516019671,0,0,1986,4270,false,0,8539,388648,648771,550759,,-2536,-0.042176243367149174,0,,123800,,0.4960813107185226,432704,386807,436575,,,,2021-10-01,2022-09-30,0,844273,772162,false,309463,7,779725,2132,195502,221403,748170,175,2132,7,7,www.handbellmusicians.org
,American Guild of English Handbell Ringers INC,false,,516019671,0,57500,1986,7349,false,0,34984,339716,521783,648771,,16710,0.18396559039999022,0,,,7349,0.35084112988601635,220885,187573,261999,,,,2020-10-01,2021-09-30,0,728508,844273,false,382587,7,534638,10580,206725,195502,655166,62,10580,7,7,www.handbellmusicians.org
,AMERICAN GUILD OF ENGLISH HANDBELL,0,0,516019671,22626,99164,1986,35546,0,0,14218,334593,426790,521783,,28168,0.07596112002237154,0,8408,178580,,0.37069598688818917,136841,218033,152939,,,,2019-10-01,2020-09-30,0,734709,728508,0,448888,8,588172,12070,307919,206725,636523,62,12070,7,7,WWW.HANDBELLMUSICIANS.ORG
,AMERICAN GUILD OF ENGLISH HANDBELL,0,0,516019671,17364,96390,1986,39229,0,0,15039,367231,418327,426790,,58559,0.003521509171671536,0,2325,176298,,0.4462563792365896,252162,327562,298210,,,,2018-10-01,2019-09-30,0,733812,734709,0,408531,9,734022,12511,315485,307919,736616,62,12511,7,7,WWW.HANDBELLMUSICIANS.ORG
,AMERICAN GUILD OF ENGLISH HANDBELL,0,0,516019671,15144,97418,1986,29868,0,0,12214,420547,377005,418327,,61379,-0.004203003923062866,0,2930,179945,,0.4186948430244414,284079,324419,331630,,,,2017-10-01,2018-09-30,0,675410,733812,0,410989,0,774834,13828,298405,315485,771591,35,13828,7,7,WWW.HANDBELLMUSICIANS.ORG
,AMERICAN GUILD OF ENGLISH HANDBELL,0,0,516019671,13013,93813,1986,30116,0,0,10467,395688,359095,377005,,59734,-0.038492576192805744,6586,2546,154058,,0.4285330831679208,225274,319303,262217,,,-1800,2016-10-01,2017-09-30,0,644280,675410,0,421268,0,745107,20991,285185,298405,717489,35,20991,7,7,WWW.HANDBELLMUSICIANS.ORG
,AMERICAN GUILD OF ENGLISH HANDBELL,0,0,516019671,115035,95831,1986,28462,0,0,9303,436942,266083,359095,,40880,0.0702601028865731,1786,4524,167271,,0.40294011620373754,264428,314089,283848,,,101208,2015-10-01,2016-09-30,0,637198,644280,0,418056,7,779493,21460,371115,285185,838399,36,21460,7,7,WWW.HANDBELLMUSICIANS.ORG
,AMERICAN GUILD OF ENGLISH HANDBELL RINGERS INC,0,0,516019671,257803,94849,1986,24833,0,0,7611,462173,342741,266083,280,63685,-0.08386897174114255,0,5559,178023,,0.4231898511090134,283299,357303,81883,,,503,2014-10-01,2015-09-30,0,676172,637198,0,418040,7,844309,21251,333431,371115,778977,0,21251,7,7,WWW.HANDBELLMUSICIANS.ORG
,,0,0,516019671,252753,95817,1986,29784,0,0,6820,509463,394776,342741,645,50124,-0.10943845583146818,0,3092,168117,,0.39393629467953467,285525,350506,70187,,,660,2013-10-01,2014-09-30,0,650377,676172,0,455119,8,889753,23926,255601,333431,801985,0,23926,7,7,WWW.HANDBELLMUSICIANS.ORG
,,,,516019671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PLANO SYMPHONY ORCHESTRA ASSOCIATION,0,0,751929103,40872,159870,1983,128010,0,0,12070,222779,1092178,888010,12257,,-0.13173803380171545,0,,339385,,0.8000029647012408,770022,1403182,770022,,,16545,2022-07-01,2023-06-30,0,1794236,1770549,0,738909,10,1753971,0,702058,882539,1549803,150,0,28,28,WWW.PLANOSYMPHONY.ORG
,PLANO SYMPHONY ORCHESTRA ASSOC,false,,751929103,109851,103104,1983,172074,false,,6698,361468,636977,1092178,103153,,0.23263880213032756,,,394113,,0.6782786761682057,882740,1124856,899004,,,16264,2021-07-01,2022-06-30,,1380082,1794236,false,1152315,8,1658398,0,743105,702058,2161170,151200,,28,28,WWW.PLANOSYMPHONY.ORG
,PLANO SYMPHONY ORCHESTRA ASSOC,false,,751929103,102977,83519,1983,288236,false,,5317,315052,609363,636977,97660,,-0.003420518329167557,,10125,366568,,0.5508793871648557,615508,739977,642909,,,17276,2020-07-01,2021-06-30,,1435956,1380082,false,592800,8,1343265,0,826593,743105,1338686,201250,,31,31,WWW.PLANOSYMPHONY.ORG
,PLANO SYMPHONY ORCHESTRA ASSOC,false,,751929103,110788,87750,1983,364672,false,,8401,309694,908767,609363,102387,,-0.18401882501099212,,2954,397862,,0.6135411819450908,669170,1070622,700099,,,27975,2019-07-01,2020-06-30,,1718795,1435956,false,662897,9,1744988,0,810028,826593,1473784,201250,,35,35,WWW.PLANOSYMPHONY.ORG
,PLANO SYMPHONY ORCHESTRA ASSOC,false,,751929103,198425,86700,1983,527347,false,,14434,289067,1169080,908767,183611,,-0.15106509324303835,,,453342,,0.5926685589325744,745982,1187885,766220,,,20618,2018-07-01,2019-06-30,,1514996,1718795,false,776611,12,2004299,0,345916,810028,1741256,251300,,30,30,WWW.PLANOSYMPHONY.ORG
,PLANO SYMPHONY ORCHESTRA ASSOC,false,,751929103,56893,86700,1983,237970,false,,10231,279899,1247427,1169080,46662,,-0.0707058504490254,,,401256,,0.6956765739792891,709085,1183837,709085,,,,2017-07-01,2018-06-30,,1583809,1514996,false,823353,13,1701706,0,336382,345916,1589331,251300,,33,33,WWW.PLANOSYMPHONY.ORG
,PLANO SYMPHONY ORCHESTRA ASSOC,false,,751929103,106689,,1983,205740,false,,11537,294259,1169646,1247427,95152,,0.011070606095029587,,,484529,,0.6928634216188956,698497,1127938,698497,,,,2016-07-01,2017-06-30,,1516814,1583809,false,840975,11,1627937,0,347168,336382,1646161,251300,,33,33,WWW.PLANOSYMPHONY.ORG
,PLANO SYMPHONY ORCHESTRA ASSOC,false,,751929103,94039,,1983,195542,false,,10609,305759,1187569,1169646,83430,,0.014481162523418927,,,490353,,0.6796655441457445,686178,1063629,686178,,,,2015-07-01,2016-06-30,,1518647,1516814,false,807708,11,1564930,0,331078,347168,1587925,251300,,31,31,WWW.PLANOSYMPHONY.ORG
,PLANO SYMPHONY ORCHESTRA ASSOC,false,,751929103,120019,,1983,178432,false,,10548,276665,1048148,1187569,109471,,0.07813419757767388,,,455707,,0.697610770469713,642338,1049907,642338,,,,2014-07-01,2015-06-30,,1359048,1518647,false,870206,10,1505004,0,310900,331078,1632563,201250,,29,29,WWW.PLANOSYMPHONY.ORG
,,false,,751929103,125897,,1983,152945,false,,1571,270057,1052745,1048148,124326,,-0.08023846569199755,,8204,440133,,0.7017792344857197,573258,995417,581462,,,,2013-07-01,2014-06-30,,1348827,1359048,false,605702,11,1418419,0,296082,310900,1313061,201250,,32,32,WWW.PLANOSYMPHONY.ORG
,,,,751929103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STEM FROM DANCE INC,0,0,461793936,242151,158021,2012,388382,0,1,226,300760,1330820,1208622,,,-0.0615257888095931,10792,,932361,,0.6731275109211731,241925,1419148,0,,,,2022-07-01,2023-06-30,0,1352881,1234989,1,1743943,33,2108290,0,22061,26367,1986094,5,0,11,11,WWW.STEMFROMDANCE.ORG
,STEM FROM DANCE INC,false,,461793936,132239,131500,2012,233459,false,1,336,174675,1084513,1330820,,,0.16152962833501985,,,664324,,0.6807797055064628,131903,870400,,,,,2021-07-01,2022-06-30,,1085798,1352881,false,1392602,33,1278534,0,1285,22061,1524841,5,,11,11,WWW.STEMFROMDANCE.ORG
,STEM FROM DANCE INC,false,,461793936,124314,112500,2012,110414,false,1,,71038,683942,1084513,,,0.3371080498579011,,,406263,,0.7696391709386735,124314,606234,,,,,2020-07-01,2021-06-30,,685427,1085798,false,1063943,22,787686,0,1485,1285,1188257,10,,11,11,WWW.STEMFROMDANCE.ORG
,STEM FROM DANCE INC,false,,461793936,61049,100000,2012,80505,false,,,92150,211639,683941,,,0.49034014283445093,,,241519,,0.6482967381052778,61049,318256,,,,,2019-07-01,2020-06-30,,221210,685427,false,902164,22,490911,0,9571,1486,963213,,,8,0,WWW.STEMFROMDANCE.ORG
,STEM From Dance Inc,false,,461793936,,99187,2012,48204,false,,788,139773,178338,221262,,,0.09552015328659774,,,135427,,0.40386646243423496,45070,127350,,,,,2018-07-01,2019-06-30,,247627,221262,false,302770,16,315327,0,69289,0,348628,,,8,0,www.stemfromdance.org
,STEM FROM DANCE INC,false,,461793936,,92331,2012,216,false,,52,77570,62251,178338,,,0.33938676899398496,,,113095,216,0.6917926001061883,93577,174596,93629,,,,2017-07-01,2018-06-30,,62251,247627,false,288413,4,252382,0,,69289,382042,10,,7,7,www.stemfromdance.org
,STEM From Dance,,,461793936,,,,,,,,,9342,62251,,,,,,,,,,,,,,,2016-07-01,2017-06-30,,,,,,,,,,,,,,,,www.stemfromdance.org
,STEM From Dance,,,461793936,,,,,,,,,25130,9342,,,,,,,,,,,,,,,2015-07-01,2016-06-30,,,,,,,,,,,,,,,,www.stemfromdance.org
,LINCOLN HILLS CARES FOUNDATION,false,,814553048,,88913,2016,72100,false,,,49408,867133,934336,,,0.061161748310618644,,,57740,72100,0.8822108393791224,,910064,,,,,2023-01-01,2023-12-31,,869635,938341,false,1098775,3,1031572,0,2502,4005,1098775,54,,3,3,LINCOLNHILLSCARES.ORG
,Lincoln Hills Cares Foundation,false,,814553048,0,85000,2016,18025,false,0,,7112,1018746,867133,,,-30.3226,0,,31250,18025,0.8394960827006698,,131476,0,,,,2022-10-01,2022-12-31,0,1021248,869635,false,5000,2,156613,0,2502,2502,5000,4,0,5,5,lincolnhillscares.org
,Lincoln Hills Cares Foundation,false,,814553048,0,0,2016,72100,false,0,,29510,1279132,1018746,,,-0.40183024691358027,0,,103750,72100,0.8881422655126785,,806776,0,,,,2021-10-01,2022-09-30,0,1281865,1021248,false,648000,2,908386,0,2733,2502,648000,,0,5,5,lincolnhillscares.org
,Lincoln Hills Cares Foundation,false,,814553048,0,0,2016,79310,false,0,,21523,286310,1279132,,,0.5424551342502997,0,,81613,79310,0.8795903111476255,,736583,0,,,,2020-10-01,2021-09-30,0,288758,1281865,false,1830238,0,837416,0,2448,2733,1830238,4,0,5,5,lincolnhillscares.org
,LINCOLN HILLS CARES FOUNDATION,0,0,814553048,0,0,2016,73944,0,0,,14320,17372,286310,,,0.21660651564074335,0,,25500,70875,0.909254939295272,,884395,0,,,,2019-10-01,2020-09-30,0,448922,288758,0,1241597,22,972659,0,431550,2448,1241597,5,0,5,5,LINCOLNHILLSCARES.ORG
,LINCOLN HILLS CARES FOUNDATION,0,0,814553048,0,0,2016,87501,0,0,,34165,346406,17372,,,-0.1734898974986291,0,,,62901,0.9453332458660475,,2103928,0,,,,2018-10-01,2019-09-30,0,1145581,448922,0,1896560,0,2225594,0,799175,431550,1896560,10,0,8,8,LINCOLNHILLSCARES.ORG
,LINCOLN HILLS CARES FOUNDATION,0,0,814553048,0,0,2016,9729,0,0,,49280,736644,346406,,,0.17309145034183301,0,,,4636,0.969266049789739,,1860985,0,,,,2017-10-01,2018-09-30,0,751206,1145581,0,2321894,0,1919994,0,14562,799175,2321894,8,0,8,8,LINCOLNHILLSCARES.ORG
,LINCOLN HILLS CARES FOUNDATION,0,0,814553048,0,0,2016,0,0,0,,14435,,736644,,,0.41691913689423415,0,,,,0.9859885792603794,,1015796,0,,,,2016-10-21,2017-09-30,0,,751206,0,1766875,0,1030231,0,,14562,1766875,5,0,5,5,LINCOLNHILLSCARES.ORG
,BIRCH CREEK MUSIC PERFORMANCE CENTER INC,0,0,363032002,75662,88528,1975,109349,0,0,34013,484918,3979862,3957608,-7532,9952,-0.1580862925273519,6062,17697,367093,,0.5640467918283028,533088,768877,536178,3090,,21532,2023-01-01,2023-12-31,0,4422257,4396409,0,565226,32,1363144,0,442395,438801,1177066,79,0,19,19,WWW.BIRCHCREEK.ORG
,BIRCH CREEK MUSIC PERFORMANCE CENTER INC,0,0,363032002,35128,84240,1975,113526,0,0,30229,421665,4241988,3979862,-9973,5092,0.0012483038924740086,4998,1817,325105,,0.5814042434372357,421626,743348,422566,940,,7963,2022-01-01,2022-12-31,0,4670702,4422257,0,822443,30,1278539,0,428714,442395,1280137,80,0,19,19,WWW.BIRCHCREEK.ORG
,BIRCH CREEK MUSIC PERFORMANCE CENTER INC,0,0,363032002,66607,82612,1975,93160,0,0,19705,320484,3653588,4241988,-6877,3525,0.34302651467942386,5000,152,265595,,0.5975849884814146,280701,614260,285852,1474,,53779,2021-01-01,2021-12-31,0,4050427,4670702,0,1212146,26,1027904,0,396839,428714,1564605,57,0,15,15,WWW.BIRCHCREEK.ORG
,BIRCH CREEK MUSIC PERFORMANCE CENTER INC,0,0,363032002,20490,83077,1975,85086,0,0,15192,284211,3765275,3653588,-2295,35,-0.3697578637318862,5185,165,165074,,0.4311453895137663,32320,279897,33470,950,,7593,2020-01-01,2020-12-31,0,4044799,4050427,0,419988,10,649194,0,279524,396839,473948,57,0,20,20,WWW.BIRCHCREEK.ORG
,BIRCH CREEK MUSIC PERFORMANCE CENTER INC,0,0,363032002,19160,79765,1975,101193,0,0,19286,364719,3131238,3765275,-4352,4208,0.32918853948087723,4708,955,272337,,0.5854908635073207,434103,658097,447916,8650,,4226,2019-01-01,2019-12-31,0,3419869,4044799,0,1208520,29,1124009,0,288631,279524,1675596,82,0,19,19,WWW.BIRCHCREEK.ORG
,BIRCH CREEK MUSIC PERFORMANCE CENTER INC,0,0,363032002,20856,77819,1975,102244,0,0,16151,327940,3004041,3131238,1443,9546,0.14391176253011312,3996,2717,259676,,0.5959457822102456,421227,634485,446140,12650,,2800,2018-01-01,2018-12-31,0,3317026,3419869,0,776648,31,1064669,0,312985,288631,1243644,86,0,19,19,WWW.BIRCHCREEK.ORG
0,PORT TOWNSEND AERO MUSEUM,false,0,912122256,9326,190159,2001,0,false,1,9326,42065,7997618,8837185,41322,46753,0.5686559498634928,,0,139880,0,0.9324077868029277,134332,580270,181085,0,0,0,2023-01-01,2023-12-31,,8009835,8857844,true,1211048,7,622335,0,12217,20659,1442781,45,,5,5,N/A
0,PORT TOWNSEND AERO MUSEUM,false,0,912122256,3392,182396,2001,0,false,1,3392,21651,7734489,7997618,0,155817,0.2940321729667265,,0,127370,0,0.9624572787032494,67147,555052,224464,0,0,1500,2022-01-01,2022-12-31,,7746029,8009835,true,589041,6,576703,0,11540,12217,816897,45,,5,5,N/A
0,PORT TOWNSEND AERO MUSEUM,false,0,912122256,1619,169167,2001,0,false,1,1619,36435,6833069,7734489,0,164166,0.618599007957749,,0,122501,0,0.9344430130124367,43985,519341,-78720,0,0,-286871,2021-01-01,2021-12-31,,6844363,7746029,true,1534297,7,555776,0,11294,11540,1457196,45,,5,5,N/A
,PORT TOWNSEND AERO MUSEUM,0,0,912122256,3864,162500,2001,0,0,1,2854,28699,6717214,6833069,,1010,0.09443713663317238,0,,117127,,0.9489746571226393,385165,533747,385165,,,,2020-01-01,2020-12-31,0,6751152,6844363,1,232072,6,562446,0,33938,11294,621101,44,0,5,5,WWW.PTAEROMUSEUM.COM
,PORT TOWNSEND AERO MUSEUM,0,0,912122256,40882,154375,2001,0,0,1,2452,27133,6195523,6717214,35701,2729,0.4528394748811677,0,,118299,,0.95695586441248,282175,603220,278475,,,-3700,2019-01-01,2019-12-31,0,6198040,6751152,1,832687,6,630353,0,2517,33938,1152044,40,0,5,5,WWW.PTAEROMUSEUM.COM
,PORT TOWNSEND AERO MUSEUM,0,0,912122256,14399,144125,2001,0,0,1,1218,11647,5459639,6195523,51275,3913,0.5610929006747138,0,,100983,,0.9797666924353106,306099,563988,306099,,,-42007,2018-01-01,2018-12-31,0,5474402,6198040,0,991021,4,575635,0,14763,2517,1311519,59,0,5,5,WWW.PTAEROMUSEUM.COM
,PORT TOWNSEND AERO MUSEUM,0,0,912122256,682,138000,2001,0,0,1,1049,22760,5502638,5459639,7857,2687,-0.08968457410308125,0,,96466,,0.9564356890472892,245114,499686,0,,,-10911,2017-01-01,2017-12-31,0,5509906,5474402,0,233651,6,522446,245114,7268,14763,479447,43,245114,5,5,WWW.PTAEROMUSEUM.COM
,PORT TOWNSEND AERO MUSEUM,0,0,912122256,-20276,144004,2001,0,0,1,1098,7022,5469067,5502638,5181,4428,0.06929914374654238,0,,50884,,0.984425493218591,229578,443843,229578,,,-30983,2016-01-01,2016-12-31,0,5594067,5509906,0,275134,5,450865,0,125000,7268,484436,56,0,7,7,WWW.PTAEROMUSEUM.COM
,PORT TOWNSEND AERO MUSEUM,0,0,912122256,25527,106616,2001,0,0,0,506,7755,5342891,5469067,37353,3523,0.2638037194618384,0,,3802,,0.977976195547528,222848,344364,222848,,,-15855,2015-01-01,2015-12-31,0,5568349,5594067,0,229920,1,352119,0,225458,125000,478295,41,0,7,7,WWW.PTAEROMUSEUM.COM
,PORT TOWNSEND AERO MUSEUM,0,0,912122256,33620,102237,2001,100,0,0,147,7663,5277607,5342891,40169,2997,0.16855139366525182,0,,1176,100,0.975894298844864,110579,314277,110579,,,-9693,2014-01-01,2014-12-31,0,5502771,5568349,0,243125,1,322040,0,225164,225458,387324,38,0,7,7,WWW.PTAEROMUSEUM.COM
,,0,0,912122256,99234,94301,2001,7400,0,0,149,19514,5182653,5277607,96122,2963,0.2246735331766955,0,,4260,7400,0.9178642382590173,100376,300763,57637,,,-42739,2013-01-01,2013-12-31,0,5592932,5502771,0,265760,1,327677,0,410279,225164,422631,34,0,7,7,WWW.PTAEROMUSEUM.COM
,CHILDREN'S MUSEUM OF CLEVELAND,0,0,821661026,799,0,2017,0,0,0,799,62150,437799,140347,,,-0.5809824973973644,0,,,,0.9232178574384785,,747283,0,,,,2022-07-01,2023-06-30,198461,7753653,7467529,1,511182,0,809433,0,7315854,7327182,511981,0,0,5,5,N/A
,CHILDREN'S MUSEUM OF CLEVELAND HOLDINGS,0,0,821661026,18,0,2017,0,0,0,18,0,1102671,437799,,,-0.8322851105814933,0,,,,1.0,,813399,352608,352608,,,2021-07-01,2022-06-30,104380,8407898,7753653,0,91300,0,813399,0,7305227,7315854,443926,0,0,5,5,N/A
,CHILDREN'S MUSEUM OF CLEVELAND HOLDINGS,0,0,821661026,52,0,2017,0,0,0,52,0,1826786,1102671,,,-0.8793585419255577,0,,,,1.0,,793982,352608,352608,,,2020-07-01,2021-06-30,91028,9122300,8407898,0,69815,0,793982,0,7295514,7305227,422475,0,0,5,5,N/A
,CHILDREN'S MUSEUM OF CLEVELAND HOLDINGS,0,0,821661026,719,0,2017,0,0,0,719,0,1530151,1826786,,,0.6509286530023441,0,,,,1.0,,150995,-342367,-342367,,,2019-07-01,2020-06-30,0,8891058,9122300,0,774210,0,150995,0,7360907,7295514,432562,0,0,5,5,N/A
,CHILDREN'S MUSEUM OF CLEVELAND HOLDINGS,0,0,821661026,1954,0,2017,0,0,0,1954,0,714710,1530151,,,0.83336416305482,0,51636,,,1.0,,163052,-208114,-259750,,,2018-07-01,2019-06-30,0,8799105,8891058,0,1184653,0,163052,0,8084395,7360907,978493,0,0,5,5,N/A
,CHILDREN'S MUSEUM OF CLEVELAND HOLDINGS,0,0,821661026,977,0,2017,8973,0,0,977,0,,714710,,,0.6384044728975808,0,,,,0.9666320827336926,,259938,-108402,-108402,,,2017-08-10,2018-06-30,0,,8799105,0,851104,0,268911,0,,8084395,743679,0,0,5,5,N/A
,Open Hearts Art Center,false,,270087282,4695,209133,2004,58575,false,,4695,141736,730471,758847,,2638,0.032299887196263706,55722,0,357250,15292,0.764379085351724,626388,649830,629026,,,,2022-01-01,2022-12-31,0,896904,778941,false,244796,29,850141,0,166433,20094,878517,3,0,5,4,www.openheartsartcenter.org
,Open Hearts Art Center,false,,270087282,2661,218752,2004,63299,false,,2640,125963,645210,730471,,-2022,0.09482796314961583,48458,21,328196,23180,0.7655765583990111,711942,618089,709920,,,,2021-01-01,2021-12-31,0,649921,896904,false,179350,27,807351,0,4711,166433,891931,10,0,5,4,www.openheartsartcenter.org
,Open Hearts Art Center,false,,270087282,2751,194134,2004,53137,false,,2751,70102,340897,645210,,-6181,0.2958050550078638,48458,,328380,8986,0.8298858856869151,703407,601210,697226,,,,2020-01-01,2020-12-31,0,356228,649921,false,328785,27,724449,0,15331,4711,1028762,1,0,4,3,www.openheartsartcenter.org
,Open Hearts Art Center,false,,270087282,6185,208982,2004,70976,false,,2248,85487,365535,340897,2917,-9248,-0.027584986906144093,42227,,439591,5298,0.8295247901242638,765851,761342,756603,,,,2019-01-01,2019-12-31,0,382004,356228,false,130379,36,917805,0,16469,15331,893167,10,0,6,5,www.openheartsartcenter.org
,Open Hearts Art Center,false,,270087282,6496,200995,2004,63117,false,,3064,83501,260834,365535,2404,-7058,0.10497879948297315,41648,143,432774,3536,0.8350918749416537,784410,742471,777352,,,,2018-01-01,2018-12-31,0,275720,382004,false,209524,31,889089,0,14886,16469,993372,9,0,4,3,www.openheartsartcenter.org
,Open Hearts Art Center,false,,270087282,7694,175289,2004,54628,false,,1843,77142,254955,260834,2490,-1122,0.004229695632565,47906,5314,391483,,0.8386990158155021,731939,685150,730817,,,,2017-01-01,2017-12-31,,262470,275720,false,81879,36,816920,0,7515,14886,820390,14,,4,3,www.openheartsartcenter.org
